normal_predict_amount,normal_predict_error,set,significance,timestamp
8916216.61,73359.52779982264,c=c5,0.013744340206172332,1451019300
2664840.5125,20724.11622618161,d=d6,0.04997443298673194,1450910100
9759994.427499998,80825.98819806254,b=b6,0.018487574011636983,1451220600
8527083.8675,67793.43556657934,d=d6,0.037792306095294916,1451197140
9740259.115,76728.74396429223,d=d8,0.13429388071504642,1450769700
8738584.395,68719.81346019644,c=c8,0.030047438012696968,1451098320
9984797.992500003,79754.77424875207,b=b4,0.025372102367180224,1450697700
8244059.105,65825.84024208206,c=c3,0.05752135892202349,1451043300
7998064.14,61673.258720002275,d=d4,0.1184631059557376,1450760100
8659246.7625,67374.72998509885,a=a6,0.08399027695822342,1450939200
3903429.8575,30393.950301436584,b=b1,0.004052640988080879,1450976700
9254062.765,73461.12362061536,c=c8,0.013000526410474366,1451201640
9110179.7175,69723.49581635265,b=b20,0.01271523960860462,1451199000
4692517.845000002,36936.58128034418,c=c1,0.37515002047832174,1451040000
2391834.8325,19265.479436046266,c=c5,0.034250983466486425,1450821000
9223768.732500002,73094.82817123862,b=b25,0.02256368531284662,1451110500
7566828.6825,59804.17754360462,a=a3,0.1038433057952758,1451195100
8513580.9825,70790.20830067505,d=d5,0.10008662366277334,1451042400
8407605.57,66224.09635278075,b=b11,0.04929009805382902,1451194500
2108886.4275,17805.076499212668,d=d3,0.10680536560541504,1450992300
10665127.93,84499.82574297402,b=b35,0.006403668780625709,1450851600
4829964.2425,39202.319163937515,c=c1,0.3794932699634537,1451207400
8929322.75,68116.64721547565,a=a2,0.07014646150010015,1450765200
2310373.6950000003,19283.93576889314,d=d3,0.05192165154759417,1451168100
8049742.435,61022.61064498459,a=a5,0.0708602404956657,1451038740
8779252.845,72380.94807866457,a=a5,0.054422813625378264,1451225100
5324501.2025000015,42768.80459434695,c=c1,0.4761696357785215,1450962000
9311231.2425,72324.72628859412,a=a3,0.06375405335808354,1450926600
8616547.675,66681.10073413089,b=b23,0.0025954690257332497,1451124900
10709423.7225,88112.69535773933,c=c8,0.016808481908304963,1450857000
4460733.0925,35154.96450486347,c=c1,0.19704246713703585,1450843800
9102992.375,71340.57102631697,c=c6,0.00976124883322882,1451109300
9584828.8575,77005.36551336772,d=d7,0.09026598450248552,1450682040
10963766.6475,88852.81858989096,c=c7,0.014101153444393787,1450943160
7094737.85,59255.424176957415,a=a1,0.09593285654875204,1451188800
10474395.1375,85273.88340958668,c=c6,0.01648084866682292,1451031000
7978426.227500001,62855.758915838356,a=a1,0.16120277736439853,1451202300
1812904.485,14263.686170501353,a=a6,0.2473268390058895,1451079000
7589882.8275000015,59456.307608082054,d=d6,0.05863449163608703,1451190000
9909584.145,79661.82203637213,b=b11,0.04933188466162742,1450873800
2428109.9675000003,18367.621743508727,a=a1,0.16767285636204288,1450736700
9309786.3975,76147.9539172634,c=c6,0.018385907133262373,1451020800
9291987.294999998,76096.36872861344,a=a3,0.15822114674754628,1450924800
8214755.8125,67143.45487597714,a=a4,0.2329867650292207,1450876800
8135442.930000002,65962.50902471151,a=a6,0.0872713817492213,1451025000
2721779.0975,22219.612590196957,d=d6,0.1317522510943897,1450911300
8009433.09,64301.938096493126,c=c2,0.0418180023284145,1451211600
8988073.595,72329.13277293208,c=c2,0.051663601443686084,1451200800
7293870.245,55882.23284808756,d=d1,0.14107640023786122,1451103900
8293289.677499998,68682.54586573086,d=d7,0.08529882007297382,1451022300
9494861.0075,74600.27263935692,d=d7,0.0905776357168588,1450685460
2982050.075,25487.605234368373,b=b30,0.033891811417276686,1450894200
7367858.1375,59098.99745638197,a=a4,0.17271712411405013,1451198400
8892710.025,68485.15819575508,b=b3,0.009779303184225796,1451097900
9126582.2525,74806.0345158988,c=c8,0.026665971842897214,1450846200
6868536.72,57465.14807097378,a=a6,0.12845869785439068,1450757400
10830218.0575,89743.69003129318,b=b7,0.012957114224566323,1450752600
4514708.115,36376.19867426094,c=c7,0.0108031089561312,1451149500
2537063.85,21757.551995198268,c=c2,0.06090045278481113,1450824000
9587963.13,74999.02610056639,b=b11,0.06636301424199548,1450870500
2607136.4925,22017.42685894562,b=b13,0.06318115463035542,1451170500
10264408.642499998,78241.03309672765,b=b20,0.018525997261468804,1451030400
7515064.157500002,58667.56445672725,a=a1,0.16960258435696385,1451107200
10032826.655,82117.66556763764,b=b21,0.0030576843888321923,1451134800
9863761.81,78956.77276936879,b=b16,0.0047991563837727225,1451047800
8642967.1525,66539.93695379733,b=b12,0.014447415642450787,1451186100
9317159.505,77539.04049101463,d=d10,0.01990950882281016,1451216700
7953220.2749999985,64225.69232754462,a=a4,0.14080001366269393,1450871400
8168661.375,67039.96035928518,a=a1,0.1223800616522906,1451044500
7964345.039999999,68214.80802874567,a=a2,0.08164299525622641,1450779000
5073410.9525000015,41241.433392904684,c=c1,0.29704021317626084,1450936200
7723714.28,59064.740310058914,a=a5,0.05560356916245197,1451103300
7476861.085,58731.469361326126,a=a3,0.06247792501464039,1451040600
10917211.765,88970.08307059773,c=c6,0.01763041833044681,1450684200
10819189.0175,85316.57567216817,c=c6,0.018897026282955712,1450925400
2835192.7125,21512.673328131616,d=d8,0.08463272456393586,1450653900
8018790.010000002,64586.332055581355,a=a5,0.033358423833010256,1451212500
8013428.1675,58236.28972578498,a=a4,0.13446563245108553,1450698900
10614232.71,84332.36018792851,c=c2,0.03788576761257493,1450768560
5394501.4625,43160.5342760029,c=c1,0.5132714164936913,1450944000
9418298.85,73721.53938226488,d=d7,0.09142280353803048,1450667700
8443132.7525,72601.20194583948,a=a6,0.10954163758418227,1451132400
7748136.8525,65244.0587626612,a=a1,0.12503356526718046,1450692600
8036355.4225,64250.35379376338,a=a2,0.06217749498422288,1451112600
10730636.480000002,85008.0081874451,c=c8,0.016559160259867783,1450753500
8547766.595,63868.994350718756,a=a3,0.12607274175876587,1451046600
7771244.7025000015,61565.790212255684,a=a2,0.07104236031047774,1451205000
10082322.52,78791.06038338866,b=b12,0.0158565615411204,1450960800
9947420.6925,80317.96547284881,c=c8,0.03486482257210526,1450698060
8468322.555,68471.04407085423,a=a6,0.08256858973098165,1451031900
8314570.7650000015,64688.716745280595,c=c8,0.026695715844479592,1451124000
8256335.5474999985,67752.12465887464,d=d4,0.11762426092386412,1451118000
8205593.5775000015,68865.39337168702,a=a3,0.0969800124232683,1450934400
10994180.89,86137.92188481253,b=b28,0.002422233739738969,1450666800
8912900.9425,73279.27563138146,d=d4,0.06251661238727763,1450689300
10663775.24,83130.52414827724,b=b26,0.019166468184149608,1450938600
8956489.5825,66614.16210484492,b=b10,0.07394387552892415,1451114100
