real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
4.51451976063193,4.4625,a5,b17,c1,d1
4.471004655245697,4.43,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
1.0007716188873417,0.9925,a5,b17,c1,d5
4.446696741465521,4.467499999999999,a5,b17,c1,d3
3.4484539622177435,3.4325,a5,b17,c1,d10
0.9929346624661809,0.9975,a5,b17,c1,d6
1.6649145643033243,1.6649999999999998,a5,b17,c1,d7
1.0269030326436301,1.01,a5,b17,c1,d2
1.46755116889685,1.4825,a5,b17,c1,d8
0.2597767777633174,0.26,a5,b17,c3,d1
0.25568551887440283,0.2575,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
0.6937953937647985,0.695,a5,b17,c3,d5
0.2566831253219434,0.2575,a5,b17,c3,d3
0.7882287250680382,0.7949999999999999,a5,b17,c3,d10
0.7151366206388456,0.7050000000000001,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
0.7035384012038751,0.705,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.8160804866209541,0.83,a5,b17,c4,d1
0.8288588590000409,0.83,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
1.0000999714086298,1.0,a5,b17,c4,d5
0.8247487832841702,0.8324999999999999,a5,b17,c4,d3
0.6624240159497128,0.66,a5,b17,c4,d10
1.0007395331870876,0.995,a5,b17,c4,d6
0.5052047405983977,0.5,a5,b17,c4,d7
0.9918632907536644,0.995,a5,b17,c4,d2
0.4887698728496767,0.5,a5,b17,c4,d8
773.1256975007956,773.2249999999997,a5,b17,c2,d1
776.5283419496324,780.69,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
49.026676131216185,48.95,a5,b17,c2,d5
776.2139601763209,774.8525,a5,b17,c2,d3
17.73975562815789,17.6475,a5,b17,c2,d10
48.815306081675644,49.0625,a5,b17,c2,d6
