normal_predict_amount,normal_predict_error,set,significance,timestamp
7559366.292499999,61262.60047963549,d=d1;b=b5,0.13735467528535628,1451019300
2656692.12,21601.04731900545,c=c8;d=d7,0.06528160915750661,1450910100
7367625.057499999,57075.31385363159,c=c4;b=b7,0.11609222217498202,1451220600
8543879.135,70112.65745257812,b=b21;a=a5,0.058517253920791774,1451197140
9179202.21,76533.05216096464,d=d1;d=d10,0.07856606012098691,1450769700
7737355.7075,60598.19578914152,b=b27;c=c3,0.10773202232803096,1451098320
8485037.5925,67775.81721504178,d=d1;b=b24,0.12645348651777688,1450697700
5980581.4825,47526.6643208553,a=a1;a=a4,0.2895909422212241,1451043300
7152518.3025,57052.290170378204,a=a2;d=d5,0.1856876071174643,1450760100
8219316.005000001,68353.29056324335,c=c4;b=b16,0.10629730217550196,1450939200
2570083.12,19929.85031491038,c=c3;a=a6,0.19078477250950898,1450976700
7847436.275,61013.112621050524,b=b25;a=a1,0.1077455306730049,1451201640
6910310.08,54892.526280302285,a=a4;c=c2,0.12411717333925228,1451199000
7644223.7525,59933.31510404678,b=b8;c=c6,0.05940165914448878,1451040000
1999262.21,15591.895330072759,b=b15;a=a1,0.12256273852036464,1450821000
6422858.5625,51699.339687415144,a=a3;a=a2,0.20156599509315665,1451110500
4132312.3725,33497.39629212463,d=d1;c=c1,0.42782632113610575,1451195100
6820603.117500002,51862.14872272347,a=a6;d=d2,0.20234578278883106,1451042400
7285917.4475,61189.19789057334,a=a2;b=b9,0.2027973904814365,1451194500
1969172.3925,15304.613786945945,a=a2;d=d5,0.14406428406969918,1450992300
6757898.8225,53630.64887605862,a=a3;a=a6,0.2545474176321804,1450851600
7290477.4,56068.764931768084,a=a2;d=d10,0.10457797403630056,1451207400
8572996.24,67003.71221689091,a=a5;d=d8,0.11582372601411425,1450765200
1712659.3075,14831.233568399499,a=a5;a=a6,0.2436242601532229,1451168100
5551065.9375,47430.48314070354,a=a4;a=a3,0.2846406914020811,1451038740
8184646.8375,64468.40183288825,c=c2;a=a5,0.08112552352011301,1451225100
7705857.595000002,59417.70714438228,b=b10;a=a6,0.2411184087531932,1450962000
10047205.0025,83351.09514896011,d=d5;c=c8,0.062470298748357515,1450926600
5573576.9,43496.054327306265,a=a6;a=a3,0.2437983416018357,1451124900
