normal_predict_amount,normal_predict_error,set,significance,timestamp
8822815.548,67828.61824,a=a4&b=b26;a=a2&d=d2;b=b24&d=d5,0.016507748,1451019300
2521163.575,20054.41648,a=a4&b=b25;a=a4&b=b5;a=a6&c=c1,0.103810547,1450910100
9882701.44,74435.98616,a=a4&b=b29;b=b5&d=d5;b=b26&d=d5,0.004184331,1451220600
9206831.555,72545.63066,a=a2&b=b24;b=b9&d=d4;b=b16&d=d8,0.014571487,1451197140
10659018.95,86578.10317,a=a4&c=c7;c=c4&d=d2;a=a2&d=d3,0.038530333,1450769700
8872317.788,71231.00495,a=a5&c=c2;c=c8&d=d8;a=a3&b=b20,0.01210974,1451098320
9832750.315,73367.99086,a=a4&b=b7;a=a2&d=d4;a=a1&d=d8,0.02646287,1450697700
9306710.388,72482.05428,a=a5&d=d8;c=c7&d=d2;a=a1&d=d1,0.021818304,1451043300
9241498.96,70290.12735,a=a2&b=b21;b=b14&d=d1;a=a6&c=c5,0.011446414,1450760100
10625864.97,86105.97773,a=a3&c=c3;a=a5&d=d8;a=a2&c=c3,0.022848928,1450939200
3716435.228,28588.67289,a=a5&d=d8;c=c2&d=d3;a=a6&b=b13,0.038670882,1450976700
9275265.85,71552.73598,a=a3&b=b14;c=c8&d=d8;a=a4&d=d5,0.018772033,1451201640
9232205.505,76118.99188,a=a4&d=d2;b=b16&c=c1;b=b3&c=c4,0.011098117,1451199000
8751041.323,71320.49375,a=a5&d=d2;b=b4&d=d3;a=a5&d=d2,0.009005473,1451040000
2391649.35,18735.96493,a=a6&b=b10;c=c2&d=d6;a=a4&c=c7,0.03556552,1450821000
9420993.498,73077.74066,a=a1&b=b27;b=b9&d=d2;c=c5&d=d3,0.004020667,1451110500
8978977.678,72593.40785,b=b8&c=c4;b=b35&d=d8;b=b31&c=c8,0.010381279,1451195100
9006946.31,73594.2451,a=a1&c=c3;a=a2&b=b30;a=a4&c=c6,0.025479762,1451042400
8795659.935,67019.03106,a=a4&b=b8;c=c4&d=d5;c=c7&d=d2,0.029991222,1451194500
2281557.533,17641.19687,a=a4&c=c7;a=a2&c=c4;a=a2&d=d3,0.064152153,1450992300
