normal_predict_amount,normal_predict_error,set,significance,timestamp
9029300.4825,70072.61992904515,a=a4&c=c4&d=d10;a=a2&c=c8&d=d10,0.0010268395985019243,1451019300
3036073.015,24241.13313763544,a=a2&b=b2&d=d4;a=a1&c=c2&d=d2,0.002322033614149508,1450910100
9939381.2975,80051.34379968968,b=b23&c=c3&d=d3;a=a4&c=c3&d=d9,0.00036979131986324815,1451220600
9287142.225,73064.7605092517,a=a3&b=b35&c=c1;a=a4&c=c3&d=d3,0.008316300221352806,1451197140
11247493.087500002,93819.23155640867,a=a6&b=b3&c=c6;a=a1&b=b15&d=d3,0.00022343813735935648,1450769700
9001165.78,69771.80396365104,a=a4&b=b21&d=d8;a=a4&c=c5&d=d3,0.0005083709273251948,1451098320
10293480.6675,82582.666602547,b=b12&c=c1&d=d3;b=b19&c=c3&d=d3,0.0011581573109248507,1450697700
9619738.2325,76395.64749079212,a=a6&b=b21&d=d6;b=b8&c=c8&d=d6,0.0005276777197698642,1451043300
9369708.9625,75839.45829941571,b=b22&c=c4&d=d1;a=a3&b=b13&d=d3,0.0015157223500065554,1450760100
10935018.7775,87676.2671390175,a=a2&b=b4&d=d7;a=a1&c=c6&d=d7,0.001057693741548744,1450939200
3933544.3625,31520.428821586913,a=a4&b=b16&d=d6;a=a2&c=c8&d=d5,0.00144238268560311,1450976700
9558549.145,73864.20252719583,a=a4&b=b9&c=c6;a=a2&b=b14&d=d4,0.0005956318283783142,1451201640
9390630.0375,73112.04234078973,a=a6&b=b12&d=d6;a=a4&b=b9&c=c4,0.001930017819385617,1451199000
8829385.870000001,70229.01838480492,a=a1&b=b19&c=c3;a=a4&b=b7&d=d8,0.0006164708650573585,1451040000
2492931.3575,19969.11871315944,a=a6&b=b5&c=c2;b=b2&c=c1&d=d8,0.00162607237449031,1450821000
9474581.485,73850.44658579478,a=a5&b=b12&d=d2;a=a2&b=b4&d=d8,0.0013295537661416196,1451110500
9037626.8075,73589.1402002955,b=b8&c=c1&d=d7;a=a6&b=b25&d=d5,0.010042198923725857,1451195100
9356976.31,79422.38455885605,a=a4&b=b11&c=c3;a=a3&b=b1&c=c1,0.006582982993110604,1451042400
9113822.0575,73090.92181720126,a=a1&c=c3&d=d5;a=a4&b=b24&c=c7,0.0031811125628620827,1451194500
2422311.71,20626.727785921896,a=a3&b=b11&d=d2;a=a4&c=c4&d=d1,0.004383475054187849,1450992300
10731765.26,86108.72749980366,a=a2&b=b25&d=d6;b=b10&c=c4&d=d10,0.00017563599906116227,1450851600
9177042.225,70422.42412118397,a=a4&b=b13&d=d1;a=a6&b=b29&d=d6,0.0012244881013145394,1451207400
10821202.9375,85782.25838576729,a=a6&b=b7&c=c7;a=a2&b=b16&d=d8,0.00033471858872133613,1450765200
2653865.6175,19791.863692501254,a=a2&b=b30&d=d9;a=a1&b=b7&d=d2,0.00038349038854574745,1451168100
8822376.615,68876.18270439756,a=a1&b=b26&d=d8;a=a1&b=b5&d=d1,0.0005995025643926822,1451038740
9638898.79,81738.23457844695,a=a2&b=b15&d=d3;b=b12&c=c4&d=d4,0.0007998208771844897,1451225100
10105844.8675,82699.19990043041,a=a6&c=c4&d=d1;a=a3&b=b26&c=c1,0.0030931607779070645,1450962000
11066356.7125,90846.37861772912,a=a6&b=b8&d=d7;a=a5&b=b11&d=d6,0.0006081697825231957,1450926600
8638307.6675,67198.02513283156,a=a1&b=b8&d=d1;a=a4&b=b1&d=d5,0.001764771870253165,1451124900
11008523.0225,90046.09493782416,b=b27&c=c1&d=d4;a=a6&c=c5&d=d6,0.0005510131786617532,1450857000
8776704.81,66055.01510539497,a=a2&c=c4&d=d9;b=b23&c=c1&d=d10,0.0010326304163833177,1450843800
9074469.645,70359.52278501107,a=a3&c=c4&d=d10;a=a3&c=c1&d=d3,0.012350310139412759,1451109300
11261641.864999998,86214.66626733379,a=a4&b=b10&c=c5;a=a4&b=b10&d=d5,0.0013351049671130365,1450682040
11101958.2925,90453.39013413656,a=a6&c=c4&d=d6;a=a3&b=b31&d=d1,0.0011423328847532561,1450943160
8441958.49,63530.930372922216,a=a6&b=b14&d=d7;a=a2&b=b26&d=d7,0.00031588391807840663,1451188800
10637328.08,88654.43461109244,b=b14&c=c6&d=d8;a=a2&c=c1&d=d8,0.0011251739601542252,1451031000
9492937.4075,75822.8575943257,a=a4&b=b9&c=c6;a=a4&c=c4&d=d2,0.0018978981712944683,1451202300
2401275.67,18352.27132320115,b=b4&c=c7&d=d3;a=a5&c=c2&d=d1,0.002405700712809976,1451079000
8409915.434999999,69140.62253842599,a=a1&b=b14&c=c6;b=b10&c=c7&d=d8,0.00012268518544523256,1451190000
10775434.365,82211.31222095204,a=a4&b=b26&d=d4;a=a1&c=c2&d=d3,0.0015565549108875142,1450873800
2872980.1325000008,22090.720198108647,a=a1&c=c1&d=d1;a=a4&c=c5&d=d1,0.006481833188046818,1450736700
9460456.7725,72046.04432803491,a=a6&b=b14&c=c6;a=a3&b=b20&c=c4,0.0013906327419335195,1451020800
11031527.8275,85954.54391712112,a=a1&b=b21&c=c4;a=a2&c=c2&d=d7,0.00035047340253014704,1450924800
10681114.45,83166.34303299157,a=a4&b=b14&d=d2;a=a4&c=c6&d=d3,0.0024296591767519037,1450876800
10397137.41,78854.41321179311,b=b13&c=c4&d=d8;b=b7&c=c1&d=d7,0.0006456542522433997,1451025000
3130885.615,24065.161819252222,a=a1&c=c5&d=d7;a=a2&b=b26&c=c4,0.001087575453536023,1450911300
8599629.32,70214.31510193848,a=a4&b=b7&c=c4;a=a6&b=b27&d=d8,0.0007249279071636448,1451211600
9601143.6875,76417.20945661822,a=a3&b=b14&c=c3;a=a2&c=c3&d=d5,0.0003523195907185475,1451200800
8490185.0575,64717.5571952934,a=a5&b=b10&d=d5;b=b15&c=c6&d=d1,0.00013854108784721754,1451103900
9662693.9525,71691.15901549111,a=a2&b=b9&c=c7;a=a3&b=b9&d=d7,0.0002520993134838537,1451022300
