normal_predict_amount,normal_predict_error,set,significance,timestamp
8989082.9875,73902.51818696312,a=a4&b=b26&c=c7;b=b19&c=c8&d=d3;a=a1&c=c3&d=d5,0.002980755657061245,1451019300
3038062.18,24609.636214586837,a=a4&b=b5&d=d1;a=a6&b=b7&c=c2;a=a1&c=c4&d=d10,0.0010484046824223575,1450910100
9889829.2525,78367.77918276093,a=a6&c=c2&d=d4;a=a1&b=b9&c=c3;a=a2&c=c2&d=d2,0.00417628790080116,1451220600
9405941.9825,75119.87651066063,a=a6&b=b4&d=d3;b=b12&c=c4&d=d4;b=b19&c=c3&d=d8,0.0008850161679833526,1451197140
10977204.66,88578.22030622746,a=a3&b=b15&d=d8;a=a6&c=c1&d=d7;a=a4&b=b19&d=d4,0.011191304840587906,1450769700
9000663.5275,71423.11077100423,a=a1&b=b5&d=d2;a=a1&b=b4&d=d2;a=a1&b=b14&c=c4,0.0006868296649718981,1451098320
10302631.1875,86660.73498944813,a=a1&b=b7&d=d8;a=a3&c=c3&d=d3;a=a5&c=c2&d=d8,0.0007237042599010684,1450697700
9616097.085,73362.6953627862,a=a1&b=b20&d=d10;a=a4&b=b11&c=c6;b=b9&c=c3&d=d7,0.000840498870205824,1451043300
9383627.1325,72961.86105695611,a=a1&b=b4&d=d5;a=a3&b=b6&d=d6;a=a3&b=b1&d=d1,0.00028449573853986946,1450760100
10948610.242500003,86163.39893796122,a=a6&c=c3&d=d5;b=b8&c=c6&d=d4;a=a1&b=b31&d=d10,0.000716005456427012,1450939200
3934351.43,31232.74718154278,a=a6&b=b6&c=c1;b=b6&c=c6&d=d10;b=b4&c=c7&d=d1,0.002201979077625812,1450976700
9559403.5,78999.5396216356,a=a4&b=b1&d=d6;a=a4&b=b25&c=c1;b=b4&c=c2&d=d1,0.00031146761925706463,1451201640
9388731.31,75726.12624601347,a=a6&b=b30&d=d8;b=b1&c=c3&d=d8;b=b19&c=c3&d=d6,0.0012064641578574786,1451199000
8804378.1125,69672.7245987972,b=b5&c=c7&d=d3;a=a3&c=c4&d=d1;a=a3&b=b15&d=d10,0.0015009367080648644,1451040000
2491701.5025000004,19711.78580410719,b=b14&c=c4&d=d2;a=a4&c=c8&d=d8;a=a6&b=b25&c=c4,0.0019989887192607093,1450821000
9478149.7,73683.06078045363,b=b2&c=c3&d=d4;a=a2&b=b30&c=c8;a=a6&c=c2&d=d6,0.0010299154260410117,1451110500
9137498.3475,77424.31817979168,a=a4&b=b22&d=d6;a=a6&b=b21&d=d5;b=b26&c=c3&d=d8,0.0009943313288377684,1451195100
9394645.075,75004.72622681246,a=a3&b=b25&c=c1;b=b18&c=c2&d=d6;a=a2&b=b4&c=c8,0.005457303211129955,1451042400
9145014.305,78580.0465953543,a=a4&c=c6&d=d4;a=a2&b=b11&c=c8;a=a1&b=b14&c=c4,0.0008993988200013078,1451194500
2411567.2925,19972.904496616768,b=b19&c=c5&d=d5;a=a2&c=c4&d=d3;a=a1&b=b15&c=c4,0.008407789990303848,1450992300
10636265.945,83243.88851566732,a=a4&c=c1&d=d6;b=b11&c=c1&d=d8;a=a4&b=b8&d=d10,0.007172282545346502,1450851600
9181150.3225,75585.77038151745,a=a3&b=b10&d=d10;b=b11&c=c1&d=d9;a=a5&b=b9&d=d8,0.0004565956905428279,1451207400
10823110.4825,84568.18230792915,a=a1&b=b31&c=c2;a=a3&b=b12&d=d10;b=b3&c=c3&d=d1,0.0003142846976102844,1450765200
2654196.1425,21043.405693263667,a=a6&b=b7&d=d8;a=a2&b=b2&c=c5;b=b4&c=c7&d=d1,0.0002399649437532092,1451168100
8634299.2525,70099.71856681272,a=a6&c=c1&d=d5;a=a2&b=b2&d=d7;a=a3&c=c6&d=d1,0.009135737986803066,1451038740
9645898.42,74897.4103561257,a=a4&c=c2&d=d2;b=b7&c=c2&d=d1;b=b1&c=c8&d=d5,0.0007331801925783068,1451225100
10098365.0475,80364.71379098517,a=a2&b=b8&c=c4;a=a1&b=b12&c=c1;b=b19&c=c8&d=d7,0.0036301005865351757,1450962000
11045766.24,88639.38204738946,a=a5&c=c1&d=d6;a=a6&b=b16&d=d2;a=a3&b=b15&d=d1,0.0017362296998734252,1450926600
8478715.6075,69988.46310820412,a=a2&c=c4&d=d8;b=b10&c=c4&d=d6;b=b19&c=c2&d=d10,0.019929373401359026,1451124900
